date,item,quantity,cw_wtd_avg
2025-09-19,Extra Large Brown Pasture Raised,12,6.99
2025-09-19,Extra Large Brown Organic Pasture Raised,12,9.77
2025-09-19,Large Brown Pasture Raised,12,6.44
2025-09-19,Large Brown Organic Pasture Raised,12,6.26
2025-09-19,Large Brown Organic Pasture Raised,18,5.77
2025-10-10,Extra Large Brown Pasture Raised,12,8.99
2025-10-10,Extra Large Brown USDA Organic Pasture Raised,12,9.49
2025-10-10,Large Brown Pasture Raised,12,6.32
2025-10-10,Large Brown USDA Organic Pasture Raised,12,5.35
2025-10-10,Large Brown USDA Organic Pasture Raised,18,12.99
